AAPL,GOOG,TSLA,XRP,SOL,DOGE,ETH,BIT,ADA,CRO,LTC,UNI,BNB
116.79,1490.09,448.16,0.23824885,2.86102773,0.00261584,353.20591482,10619.45190766,0.09786518,0.14948,46.31350634,4.25986485,27.43197193
113.02,1458.42,415.09,0.2341174,2.62608296,0.0025834,346.2389138,10575.97504191,0.0929206,0.14697322,44.92397278,3.78589829,27.28568005
,,,0.23293823,2.5473028,0.00259883,346.52208572,10549.32889962,0.09341253,0.14699885,45.58177105,3.79161411,28.20230993
,,,0.24768521,2.51599459,0.00263489,352.5790067,10669.58254327,0.09634828,0.14889318,46.7301051,3.6689251,28.94385354
116.5,1486.02,425.68,0.25081649,2.65764391,0.00261238,353.95677154,10793.33942751,0.09754411,0.15000913,46.36322602,3.41920528,28.65910387
113.16,1453.44,413.98,0.24534051,2.17625031,0.00261147,340.81584538,10604.40588882,0.09280763,0.1471977,45.98552988,2.83424131,27.71452837
115.08,1460.29,425.3,0.24853854,2.29179581,0.00259518,341.80866898,10668.96895539,0.09380031,0.1475834,46.66047943,2.80006352,27.70483612
114.97,1485.93,425.92,0.25145445,2.36522028,0.00259556,350.76615934,10915.68573098,0.09615203,0.15062577,47.2183813,3.27030556,27.70531082
116.97,1515.22,434.0,0.25349053,2.53985887,0.00265253,365.59047723,11064.45759247,0.10192532,0.15242799,47.83295548,3.09736689,28.44503117
,,,0.25429026,2.40608988,0.00265453,370.96758819,11296.3614282,0.10502489,0.15433326,48.92109624,3.33152713,28.3124865
,,,0.25571862,2.42657824,0.00267363,375.14204941,11384.1819535,0.10653755,0.15415681,50.72790178,3.38724035,28.55557992
124.4,1569.15,442.3,0.25644633,2.58707246,0.00267315,387.7312655,11555.3628878,0.1100344,0.15472286,50.74381819,3.26026136,30.71468112
121.1,1571.68,446.65,0.25632299,2.40491019,0.0026351,381.19076126,11425.8994007,0.10885216,0.14715146,49.94064077,3.49726586,30.7067448
121.19,1568.08,461.3,0.24944771,2.31463525,0.00263711,379.48403791,11429.50688675,0.10729689,0.13887074,49.84649026,3.08202347,30.91211751
120.71,1559.13,448.88,0.2459395,2.26643616,0.00259265,377.44184574,11495.34965037,0.10663535,0.13953409,49.4903711,2.90694874,31.29586457
119.02,1573.01,439.67,0.24044322,2.1493861,0.00261207,366.22901728,11322.12268618,0.10406353,0.13621897,47.69287458,3.03497654,29.99489889
,,,0.2409306,2.20184324,0.00258111,368.85594038,11358.10156733,0.10610355,0.13365919,47.05392769,3.0006826,30.2482347
,,,0.24222456,2.21426738,0.00258649,378.21369795,11483.35971184,0.10738818,0.12110863,47.61954565,3.26685888,30.65952324
115.98,1534.61,430.83,0.24596448,2.05807954,0.00258976,379.93560927,11742.03715033,0.10867712,0.11040357,48.09891537,3.17766422,29.92506724
117.51,1555.93,421.94,0.24357286,1.88867176,0.00260093,369.13691491,11916.33514058,0.10249371,0.10591452,47.05102987,2.86980023,28.80344291
116.87,1593.31,422.64,0.25161491,1.89037825,0.00263032,392.18996695,12823.68918938,0.1061869,0.10149483,53.04532907,2.94137384,29.77235434
115.75,1615.33,425.79,0.25680737,1.95565252,0.00265502,413.77299269,12965.89129043,0.11057174,0.09612478,54.26727705,3.03945049,30.6581907
115.04,1641.0,420.63,0.25487888,1.96003515,0.0026469,409.76669164,12931.53902256,0.10808285,0.10076519,55.23868781,3.01219005,30.63396067
,,,0.25643078,1.91182801,0.0026455,412.45761883,13108.06261161,0.10807512,0.10179292,59.0955865,2.943257,30.58882127
,,,0.25321315,1.78745942,0.00265314,406.2177613,13031.17431056,0.10635066,0.09665925,58.67479959,2.77574688,30.10754117
115.05,1590.45,420.28,0.24868771,1.68546625,0.00267853,393.88831313,13075.24769656,0.10309702,0.09615273,56.74577824,2.72590258,31.1545605
116.6,1604.26,424.68,0.25289944,1.71023239,0.00267665,403.99704505,13654.21844012,0.10282683,0.09842109,57.81605141,2.82239855,31.63872183
111.2,1516.62,406.02,0.24586472,1.49005343,0.00259499,388.65077072,13271.28536861,0.09897673,0.08930957,55.74251071,2.67611603,30.363506
115.32,1567.24,410.83,0.24229485,1.42893639,0.00258066,386.7301135,13437.8832414,0.09537568,0.09025684,54.76585539,2.54161629,29.84247846
108.86,1621.01,388.04,0.23918382,1.44133589,0.00259836,382.81999199,13546.52226938,0.09336885,0.08411126,53.83503374,2.41416755,28.50841223
,,,0.2397442,1.54069959,0.00257594,386.59033529,13780.99470249,0.09305597,0.08415107,55.59026116,2.26642787,28.43121469
,,,0.23979745,1.5998403,0.00258175,396.35818693,13737.10982864,0.09819689,0.08420598,55.5876231,2.37930546,28.46156546
